,text,label
0,wanted share pic lady made guy happiest person ever,0
1,boyfriend came town weekend could see favorite band really good night rough months us,0
2,years struggles son father completed taxes filing child dependent grateful amount received go savings two year plan opening daycare feel one step closer finally getting life together started school saving every paycheck tough eventually worth,0
3,video guide minute light meditation help develop good concentration calm happy relaxed mind mind enable us overcome anxiety stress meditation howtomeditate guidedmeditation,0
4,college dorm room first year hard night suddenly heard roommate start giggling headphones laughing video phone pure unbridled joy reminds little brother back home see little bro back home freshman high school plays video games rage quit dies laughs stress thinks funny close got cheery guy laughter contagious midnight hear uncontrollable giggling next room idea much makes night realize much missed hearing laughter late night right love little brother makes truly happy,0
5,parents split anyway really stressed band sports school hard mom also obvious favorites hates today finally told dad feel response first time ever told proud comments,0
6,happy sunday morning experience storm uk full swing morning got dreaded sunday feeling slight hangover looked window saw rain coming sideways battering road distance saw couple dressed head toe waterproofs looking pretty miserable feet saw black labrador best day ever wetter better guy trundling road looking though highlight life much story doggo really made smile thought id share,0
7,got meningitis put coma million dollar bill insurance ate everything saved build home including saved septic well weve using bucket toilet hauling water drink cook digging scraping years finally getting donations go fund water septic excited saw first donation come weve raised far hopefully kids bathe home use regular toilet summer,0
8,cheers surprise dinner delivery favorite happy surprises,0
9,always thought wouldnt happen getting green card fricking complicated days ago learned getting job embassy living usa five years could enter police academy happy ever since,0
10,hard day little guy kept smiling,0
11,happy got celebrate sweet pooch th gotcha day anniversary,0
12,suffer gad mdd taken baby girl sleeping time taken recent darkest time first time smiled long time always treasure picture,0
13,hurricane outside windows worry anything cities housewalls strong infrastructure working appreciate feeling safety right,0
14,bad relationship apt neighbors noise years got bad escalated cops eviction threats eventually resolved learned better neighbor person im happy today pleasant exchange different neighbor noise,0
15,cant tell anyone real life yet ive never happy,0
16,diagnosed bipolar setbacks today marks years hospitalfree,0
17,best friend right reuniting first time years adults las vegas,0
18,exciting day went livestock auction bought ewe lambs got home found extra bonus named phoebe mama baby fine,0
19,babys laugh makes laugh,0
20,usually keep lead empty beach makes one happy doggo,0
21,goddamn effort whole last year finally worth god fucking damn finally whole process messy ass grueling week bunch bugs system end sign period none million people knew got weight lifted soul high school terrible fucking damned isnt year wooohoooo,0
22,years ago hade saved yesterday fiancee bought house,0
23,yearold runs big sister every day school hug,0
24,noticed picture phone son dogs rocco,0
25,always amazing compared anybody else unique special,0
26,years old become licensed journeyman plumber state indiana,0
27,bonfire celebrate weekend lover happy saturday sticks virginia yall,0
28,week work tonsillitis stressy week work recovering finally healthy enough start knitting,0
29,firefighters celebrating torrential rains eastern australia extinguish third fires region,0
30,lost faith numanity watch,0
31,best thing seen internet today,0
32,found purest form love motherhood happy valentines day man love forever,0
33,feeling happy cake coworkers today brought vegan cake celebration today never eaten cake today today cake day,0
34,years ago today one balls cells came fullyformed person hasnt stopped costing money since,0
35,although week hasnt great im still grateful alive,0
36,happy reason like child happy reason youre trouble reason taken deepak chopra,0
37,im happy body love matter look,0
38,friend took photos think finally feeling something good myselfl alright fight,0
39,months ago today height however weighed pounds super insecure last year ive workouts diet weighed today weigh pounds ive broadened massively pecs larger arms show awesome definition shoulders actually sizable proud glad conquering insecure,0
40,kid love good fart joke unknowingly stumbled korean childrens song laugh best,0
41,yrs apart cant see im happiest father,0
42,genuinely thrilled husband looking adopt makes things easier us family miles away makes easier visit im happy,0
43,doubt around family home greatest virtues created strengthened maintained,0
44,shout everybody happy smiling peacelove positivity,0
45,thank making happy allowing experience happiness,0
46,sons personality shining makes proud happy,0
47,todays video well look techniques help overcome nervousness build confidence talking people explain several techniques help overcome fear talking others end video give proven technique use confidence nervous anxiety publicspeaking happinessnow,0
48,grandparents lost dog recently grandchildren decided give happiness back surprising,0
49,les browns steps control financial destiny,0
50,girlfriend together almost months honestly life makes everything times easier even shes annoying outta cant help love girl pieces im going marry knows think sure shes girl want spend rest life personally makes happy,0
51,shuga shuga likes sleep shuga old good kitty,0
52,bought first house excited thought something like would never happen,0
53,todays video share easy practice proven methods reduce anxiety everyone time time experiences level stress anxiety video hear methods dealing experiences would like peaceful calm mind thereby enjoying happier life methods especially helpful stop panic attacks please enjoy happiness channel youtube,0
54,taste amazing love making much idk makes happy maybe smell curtain way making love much first instead using cooking spray pan use butter add flavour pancake make batter normal add cinnamon batter put onto pan stove put white chocolate chips sometimes blueberries lastly serve blueberries ontop strawberries side sometimes whipcream eating plate made wait able make boyfriendgirlfriend day,0
55,feel happy currently sitting nothing sitting biggest set exams face yet tomorrow say illprepared understatement biggest wave happiness excitement joy rushed anyone explain anyone felt like crazy,0
56,happiest moment life,0
57,girls enjoying snooze moments like make appreciate journey get,0
58,normal vastly overrated always made happy feel like anything,0
59,today th birthday awesome mum recreated cake made turned always favourite,0
60,partner commitment ceremony june going years together marriage never us wanted nice ring anyway,0
61,wanted piercing years finally took plunge today,0
62,video taught lot happiness definitely help whenever start activity remind activity like think things really might advance dont tell want dont lie form motivation honest end better expect wonderful end anything else well youre prepared better pleasantly surprised unpleasantly surprised better realistic delusional thats idea animated video check,0
63,long time lately today sudden flipped felt like sharing everyone hope happens others going tough times cheers,0
64,mom dad entering year marriage toast opa although separated always made relationship work behalf stayed close friends moms untimely passing three years photo right taken cherished creation,0
65,long distance boyfriend sent flowers particular reason loves know cliche makes happy,0
66,went first game jam weekend art school dream getting almost didnt go doubting could bring table team people ended winning best prizes really rekindled passion belief abilities,0
67,alexa ask valentine sing love song,0
68,human hearing loss thread made happy didnt understand happened lot people explained,0
69,jan yearold retired art teacher whos passionate books inspiring others live positive happy life spends time creating readinginspired artwork posters bookmarks notecards happy person,0
70,celebrated years sobriety volunteering harm farm animal sanctuary struggling recovery worth rooting,0
71,got engaged woman dreams right xmas got together given love extremely grateful happier thought could ever figured would share cool picture rings,0
72,got incredibly sick slowly came terms original plans life werent going pan since ive searching something last semester college im interning childrens art studio finally think im exactly im meant,0
73,lbs heroin addict single decade untreated lifelong depression lbs clean one year dating wonderful woman truly happy first time life,0
74,friend took day shooting guns fishing dumps feels good see happy picture,0
75,getting older perks,0
76,cat always holds hand refuses let go,0
77,im happy home could pop weve nomads mostly living x camper backyard since hurricane michael hit us october house almost done moving back today ones far neighbor still blue tarp roof living camper front yard rough today celebrating makes cry remember kind family friends offering help places stay ill never forget find brain slowly replacing terror gratitude happiness,0
78,fault cold wearing gloves matter hurry hope guy use keep warm happy little accidents right let us keep bob ross energy going,0
79,life happens react,0
80,sure belongs bit rearranging knick knacks decorations room day makes happy,0
81,last year midyear one toughest times life leaving industry spent years developing leave unexpectedly rediscover another fulfilling experience grateful everything going right,0
82,op help kid create ig account,0
83,decided quit chasing childish dreams buckle desk job quit overspending addictions also moved back mom thank goodness option working almost caught retirement savings huge stress relief im mentally physically l financially healthy ive long time,0
84,pray god gives someone love cherish throughout life earth,0
85,met fiance years ago today got tickets game working getting married first photo ever took together,0
86,today day first ever date excited,0
87,saw decal car made smile found amazon others,0
88,thanks emdr therapy feel something havent felt almost years hope future,0
89,felt good feel long time far little months lost pounds weeks till weight loss surgery heaviest weighed morning,0
90,months scared getting boy haircut finally showed mom types picked one wanted least undercut hidden get shorter hair first therapy session scared abt excited see next week need get grades,0
